geoid,GEOID10,name,B25003001,"B25003001, Error",B25003002,"B25003002, Error",B25003003,"B25003003, Error"
14000US06037123010,6037123010,"Census Tract 1230.10, Los Angeles, CA",1057,41,402,55,655,72
14000US06037123020,6037123020,"Census Tract 1230.20, Los Angeles, CA",831,36,499,83,332,76
14000US06037123103,6037123103,"Census Tract 1231.03, Los Angeles, CA",1531,81,540,101,991,122
14000US06037123104,6037123104,"Census Tract 1231.04, Los Angeles, CA",1525,89,406,76,1119,107
14000US06037123203,6037123203,"Census Tract 1232.03, Los Angeles, CA",1165,47,178,74,987,84
14000US06037123204,6037123204,"Census Tract 1232.04, Los Angeles, CA",1011,55,143,40,868,59
14000US06037123205,6037123205,"Census Tract 1232.05, Los Angeles, CA",749,49,146,45,603,62
14000US06037123206,6037123206,"Census Tract 1232.06, Los Angeles, CA",846,44,194,45,652,65
14000US06037123301,6037123301,"Census Tract 1233.01, Los Angeles, CA",1548,88,598,97,950,113
14000US06037123303,6037123303,"Census Tract 1233.03, Los Angeles, CA",937,49,265,47,672,65
14000US06037123304,6037123304,"Census Tract 1233.04, Los Angeles, CA",1701,71,333,81,1368,103
14000US06037123410,6037123410,"Census Tract 1234.10, Los Angeles, CA",1262,57,286,107,976,110
14000US06037123420,6037123420,"Census Tract 1234.20, Los Angeles, CA",1450,63,504,90,946,102
14000US06037123510,6037123510,"Census Tract 1235.10, Los Angeles, CA",1660,67,413,84,1247,98
14000US06037123520,6037123520,"Census Tract 1235.20, Los Angeles, CA",854,44,287,42,567,59
14000US06037123601,6037123601,"Census Tract 1236.01, Los Angeles, CA",1885,75,650,107,1235,116
14000US06037123602,6037123602,"Census Tract 1236.02, Los Angeles, CA",1350,49,528,79,822,82
14000US06037123700,6037123700,"Census Tract 1237, Los Angeles, CA",1440,76,784,133,656,128
14000US06037123800,6037123800,"Census Tract 1238, Los Angeles, CA",2396,85,773,156,1623,175
14000US06037123901,6037123901,"Census Tract 1239.01, Los Angeles, CA",1521,61,446,120,1075,123
14000US06037123902,6037123902,"Census Tract 1239.02, Los Angeles, CA",1074,66,381,79,693,95
14000US06037124000,6037124000,"Census Tract 1240, Los Angeles, CA",2117,75,975,184,1142,184
14000US06037124102,6037124102,"Census Tract 1241.02, Los Angeles, CA",1362,94,287,70,1075,106
14000US06037124103,6037124103,"Census Tract 1241.03, Los Angeles, CA",611,30,210,49,401,55
