geoid,GEOID10,name,B19013001,"B19013001, Error"
14000US06037128220,6037128220,"Census Tract 1282.20, Los Angeles, CA",41570,5383
14000US06037128302,6037128302,"Census Tract 1283.02, Los Angeles, CA",46413,7213
14000US06037128303,6037128303,"Census Tract 1283.03, Los Angeles, CA",39488,4135
14000US06037128400,6037128400,"Census Tract 1284, Los Angeles, CA",72500,17474
14000US06037128500,6037128500,"Census Tract 1285, Los Angeles, CA",74375,12563
14000US06037128601,6037128601,"Census Tract 1286.01, Los Angeles, CA",48173,14670
14000US06037128602,6037128602,"Census Tract 1286.02, Los Angeles, CA",85284,17438
14000US06037128702,6037128702,"Census Tract 1287.02, Los Angeles, CA",76202,6313
14000US06037128801,6037128801,"Census Tract 1288.01, Los Angeles, CA",65449,11844
14000US06037128802,6037128802,"Census Tract 1288.02, Los Angeles, CA",89735,8886
14000US06037128910,6037128910,"Census Tract 1289.10, Los Angeles, CA",104392,13274
14000US06037131010,6037131010,"Census Tract 1310.10, Los Angeles, CA",56487,6178
14000US06037131020,6037131020,"Census Tract 1310.20, Los Angeles, CA",66875,9761
14000US06037131100,6037131100,"Census Tract 1311, Los Angeles, CA",81613,19474
14000US06037131200,6037131200,"Census Tract 1312, Los Angeles, CA",81929,17418
14000US06037131300,6037131300,"Census Tract 1313, Los Angeles, CA",71848,12626
14000US06037131400,6037131400,"Census Tract 1314, Los Angeles, CA",67730,7537
14000US06037131600,6037131600,"Census Tract 1316, Los Angeles, CA",77222,26152
14000US06037131701,6037131701,"Census Tract 1317.01, Los Angeles, CA",71595,6806
14000US06037131702,6037131702,"Census Tract 1317.02, Los Angeles, CA",68083,15774
14000US06037131800,6037131800,"Census Tract 1318, Los Angeles, CA",66434,8661
14000US06037131900,6037131900,"Census Tract 1319, Los Angeles, CA",86818,27470
14000US06037132001,6037132001,"Census Tract 1320.01, Los Angeles, CA",83039,9993
14000US06037132002,6037132002,"Census Tract 1320.02, Los Angeles, CA",109891,13771
14000US06037132101,6037132101,"Census Tract 1321.01, Los Angeles, CA",73550,12750
14000US06037132102,6037132102,"Census Tract 1321.02, Los Angeles, CA",49838,12253
14000US06037132300,6037132300,"Census Tract 1323, Los Angeles, CA",49741,6971
14000US06037132501,6037132501,"Census Tract 1325.01, Los Angeles, CA",60156,20005
14000US06037132502,6037132502,"Census Tract 1325.02, Los Angeles, CA",52712,12096
14000US06037132700,6037132700,"Census Tract 1327, Los Angeles, CA",64412,16884
14000US06037132900,6037132900,"Census Tract 1329, Los Angeles, CA",81042,9546
14000US06037133000,6037133000,"Census Tract 1330, Los Angeles, CA",72864,8475
14000US06037133100,6037133100,"Census Tract 1331, Los Angeles, CA",52262,4944
14000US06037134001,6037134001,"Census Tract 1340.01, Los Angeles, CA",63846,9352
14000US06037134002,6037134002,"Census Tract 1340.02, Los Angeles, CA",54138,10199
14000US06037134101,6037134101,"Census Tract 1341.01, Los Angeles, CA",69476,15824
14000US06037134103,6037134103,"Census Tract 1341.03, Los Angeles, CA",81833,13397
14000US06037134104,6037134104,"Census Tract 1341.04, Los Angeles, CA",60582,9933
14000US06037134201,6037134201,"Census Tract 1342.01, Los Angeles, CA",91758,10723
14000US06037134302,6037134302,"Census Tract 1343.02, Los Angeles, CA",103750,20895
14000US06037134303,6037134303,"Census Tract 1343.03, Los Angeles, CA",78864,18669
14000US06037134304,6037134304,"Census Tract 1343.04, Los Angeles, CA",64167,9879
14000US06037134305,6037134305,"Census Tract 1343.05, Los Angeles, CA",37606,6152
14000US06037134306,6037134306,"Census Tract 1343.06, Los Angeles, CA",69286,13401
14000US06037134421,6037134421,"Census Tract 1344.21, Los Angeles, CA",140313,24355
14000US06037134422,6037134422,"Census Tract 1344.22, Los Angeles, CA",121250,25556
14000US06037134423,6037134423,"Census Tract 1344.23, Los Angeles, CA",100950,14147
14000US06037134424,6037134424,"Census Tract 1344.24, Los Angeles, CA",147679,14124
14000US06037134520,6037134520,"Census Tract 1345.20, Los Angeles, CA",46011,8033
14000US06037134521,6037134521,"Census Tract 1345.21, Los Angeles, CA",57669,6147
14000US06037134522,6037134522,"Census Tract 1345.22, Los Angeles, CA",37869,4765
14000US06037134710,6037134710,"Census Tract 1347.10, Los Angeles, CA",46050,9150
14000US06037134720,6037134720,"Census Tract 1347.20, Los Angeles, CA",66650,10279
14000US06037134800,6037134800,"Census Tract 1348, Los Angeles, CA",84038,9572
14000US06037134901,6037134901,"Census Tract 1349.01, Los Angeles, CA",74125,30416
14000US06037134903,6037134903,"Census Tract 1349.03, Los Angeles, CA",77353,14854
14000US06037134904,6037134904,"Census Tract 1349.04, Los Angeles, CA",49866,8552
14000US06037134905,6037134905,"Census Tract 1349.05, Los Angeles, CA",84224,13576
14000US06037135102,6037135102,"Census Tract 1351.02, Los Angeles, CA",145313,25379
14000US06037135111,6037135111,"Census Tract 1351.11, Los Angeles, CA",101554,15716
14000US06037135113,6037135113,"Census Tract 1351.13, Los Angeles, CA",85505,10383
14000US06037135114,6037135114,"Census Tract 1351.14, Los Angeles, CA",58958,9075
14000US06037135201,6037135201,"Census Tract 1352.01, Los Angeles, CA",106550,8169
14000US06037135202,6037135202,"Census Tract 1352.02, Los Angeles, CA",116321,13676
14000US06037135203,6037135203,"Census Tract 1352.03, Los Angeles, CA",116518,10264
14000US06037137000,6037137000,"Census Tract 1370, Los Angeles, CA",123542,20374
14000US06037137103,6037137103,"Census Tract 1371.03, Los Angeles, CA",89344,17969
14000US06037137104,6037137104,"Census Tract 1371.04, Los Angeles, CA",106111,36498
14000US06037137201,6037137201,"Census Tract 1372.01, Los Angeles, CA",77146,16000
14000US06037137301,6037137301,"Census Tract 1373.01, Los Angeles, CA",156250,27086
14000US06037137302,6037137302,"Census Tract 1373.02, Los Angeles, CA",145286,15318
14000US06037137401,6037137401,"Census Tract 1374.01, Los Angeles, CA",125781,16337
14000US06037137402,6037137402,"Census Tract 1374.02, Los Angeles, CA",115978,26534
14000US06037137501,6037137501,"Census Tract 1375.01, Los Angeles, CA",92156,15693
14000US06037137502,6037137502,"Census Tract 1375.02, Los Angeles, CA",99688,23194
14000US06037137504,6037137504,"Census Tract 1375.04, Los Angeles, CA",143875,30995
14000US06037138000,6037138000,"Census Tract 1380, Los Angeles, CA",127983,16069
14000US06037139001,6037139001,"Census Tract 1390.01, Los Angeles, CA",86488,24633
14000US06037139200,6037139200,"Census Tract 1392, Los Angeles, CA",70463,19695
14000US06037139301,6037139301,"Census Tract 1393.01, Los Angeles, CA",126328,26574
14000US06037139302,6037139302,"Census Tract 1393.02, Los Angeles, CA",46743,7442
14000US06037139303,6037139303,"Census Tract 1393.03, Los Angeles, CA",54470,7688
14000US06037139401,6037139401,"Census Tract 1394.01, Los Angeles, CA",57440,17616
14000US06037139402,6037139402,"Census Tract 1394.02, Los Angeles, CA",137578,26508
14000US06037139502,6037139502,"Census Tract 1395.02, Los Angeles, CA",79500,18671
14000US06037139503,6037139503,"Census Tract 1395.03, Los Angeles, CA",57006,12813
14000US06037139504,6037139504,"Census Tract 1395.04, Los Angeles, CA",56212,8467
14000US06037139600,6037139600,"Census Tract 1396, Los Angeles, CA",77000,14988
14000US06037139701,6037139701,"Census Tract 1397.01, Los Angeles, CA",152833,25536
14000US06037139702,6037139702,"Census Tract 1397.02, Los Angeles, CA",205964,30616
14000US06037139703,6037139703,"Census Tract 1397.03, Los Angeles, CA",124830,28201
14000US06037139801,6037139801,"Census Tract 1398.01, Los Angeles, CA",157557,21175
14000US06037139802,6037139802,"Census Tract 1398.02, Los Angeles, CA",153523,55588
14000US06037141101,6037141101,"Census Tract 1411.01, Los Angeles, CA",73333,13821
14000US06037141102,6037141102,"Census Tract 1411.02, Los Angeles, CA",98125,14832
14000US06037141201,6037141201,"Census Tract 1412.01, Los Angeles, CA",84205,8964
14000US06037141202,6037141202,"Census Tract 1412.02, Los Angeles, CA",81250,22239
14000US06037141302,6037141302,"Census Tract 1413.02, Los Angeles, CA",92769,19449
14000US06037141303,6037141303,"Census Tract 1413.03, Los Angeles, CA",82448,13051
14000US06037141304,6037141304,"Census Tract 1413.04, Los Angeles, CA",98375,9629
14000US06037141400,6037141400,"Census Tract 1414, Los Angeles, CA",101327,8644
14000US06037141500,6037141500,"Census Tract 1415, Los Angeles, CA",219698,58903
14000US06037141600,6037141600,"Census Tract 1416, Los Angeles, CA",196741,21498
14000US06037141700,6037141700,"Census Tract 1417, Los Angeles, CA",250001,
